LangID	Name
aln	Gheg Albanian
alo	Larike-Wakasihu
alp	Alune
alq	Algonquin
alr	Alutor
als	Albanian, Tosk
als	Tosk Albanian
alt	Altai, Southern
alt	Altay
alt	Southern Altai
alt	Teleut
alu	'Are'are
alu	’Are’are
alw	Alaba-K’abeena
alw	Wanbasana
alx	Amol
aly	Alyawarr
alz	Alur
ama	Amanayé
amb	Ambo
amc	Amahuaca
ame	Yanesha'
ame	Yanesha’
amf	Hamer-Banna
amg	Amurdak
amh	Amharic
ami	Amis
amj	Amdang
amk	Ambai
aml	War-Jaintia
amm	Ama (Papua New Guinea)
amn	Amanab
amo	Amo
amp	Alamblak
amq	Amahai
amr	Amarakaeri
ams	Amami-Oshima, Southern
ams	Southern Amami-Oshima
amt	Amto
amu	Amuzgo, Guerrero
amu	Guerrero Amuzgo
amv	Ambelau
amw	Neo-Aramaic, Western
amw	Western Neo-Aramaic
amx	Anmatyerre
amy	Ami
amz	Atampaya
ana	Andaqui
anb	Andoa
anc	Ngas
and	Ansus
ane	Xârâcùù
anf	Animere
ang	Altenglisch
ang	English, Old
ang	Old English
anh	Nend
ani	Andi
anj	Anor
ank	Goemai
anl	Anu-Hkongso Chin
anl	Chin, Anu-Hkongso
anm	Anal
ann	Obolo
ano	Andoque
anp	Angika
anq	Jarawa
anq	Jarawa (India)
anr	Andh
ans	Anserma
ant	Antakarinya
anu	Anuak
anv	Denya
anw	Anaang
anx	Andra-Hus
any	Anyin
anz	Anem
aoa	Angolar
aob	Abom
aoc	Pemon
aod	Andarum
aoe	Angal Enen
aof	Bragat
aog	Angoram
aoh	Arma
aoi	Anindilyakwa
aoj	Mufian
aok	Arhö
aol	Alor
aom	Ömie
aon	Arapesh, Bumbita
aon	Bumbita Arapesh
aor	Aore
aos	Taikat
aot	A'tong
aot	Atong (India)
aou	A'ou
aou	A’ou
aox	Atorada
aoz	Dawan
aoz	Uab Meto
apa	Apache
apb	Sa'a
apb	Sa’a
apc	Arabic, North Levantine
apc	Arabic, North Levantine Spoken
apc	North Levantine Arabic
apd	Arabic, Sudanese
apd	Arabic, Sudanese Spoken
apd	Sudanese Arabic
ape	Bukiyip
apf	Agta, Pahanan
apf	Pahanan Agta
apg	Ampanang
aph	Athpariya
api	Apiaká
apj	Apache, Jicarilla
apj	Jicarilla
apj	Jicarilla Apache
apk	Apache, Kiowa
apk	Kiowa Apache
apl	Apache, Lipan
apl	Lipan Apache
apm	Apache, Mescalero-Chiricahua
apm	Mescalero-Chiricahua
apm	Mescalero-Chiricahua Apache
apn	Apinayé
apo	Ambul
app	Apma
apq	A-Pucikwar
apr	Arop-Lokep
aps	Arop-Sissano
apt	Apatani
apu	Apurinã
apv	Alapmunte
apw	Apache, Western
apw	Western Apache
apx	Aputai
apy	Apalaí
apz	Safeyoka
aqc	Archi
aqd	Ampari Dogon
aqd	Dogon, Ampari
aqg	Arigidi
aqm	Atohwaim
aqn	Alta, Northern
aqn	Northern Alta
aqp	Atakapa
aqr	Arhâ
aqt	Angaité
aqz	Akuntsu
ara	Arabic
ara	Arabic (Lebanese)
ara	Arabic (Syrian)
ara	Arabisch
arb	Arabic (Modern Standard)
arb	Arabic, Standard
arb	Standard Arabic
arc	Aramaic
arc	Aramaic, Imperial (700-300 BCE)
arc	Aramaic, Official (700-300 BCE)
arc	Imperial Aramaic (700-300 BCE)
arc	Official Aramaic (700-300 BCE)
ard	Arabana
are	Arrarnta, Western
are	Western Arrarnta
arg	Aragonese
arg	Aragonesisch
arh	Arhuaco
ari	Arikara
arj	Arapaso
ark	Arikapú
arl	Arabela
arn	Mapuche
arn	Mapudungun
aro	Araona
arp	Arapaho
arq	Algerian Arabic
arq	Arabic (Algerian)
arq	Arabic, Algerian
arq	Arabic, Algerian Spoken
arr	Karo (Brazil)
ars	Arabic, Najdi
ars	Arabic, Najdi Spoken
ars	Najdi Arabic
aru	Arawá
aru	Aruá (Amazonas State)
arv	Arbore
arw	Arawak
arx	Aruá
arx	Aruá (Rodonia State)
ary	Arabic (Moroccan)
ary	Arabic, Moroccan
ary	Arabic, Moroccan Spoken
ary	Moroccan Arabic
arz	Arabic (Egyptian)
arz	Arabic, Egyptian
arz	Arabic, Egyptian Spoken
arz	Egyptian Arabic
asa	Asu (Tanzania)
asb	Assiniboine
asc	Asmat, Casuarina Coast
asc	Casuarina Coast Asmat
asd	Asas
ase	American Sign Language
asf	Australian Sign Language
asg	Cishingini
ash	Abishira
asi	Buruwai
asj	Sari
ask	Ashkun
asl	Asilulu
asm	Assamese
asn	Asurini of Xingú
asn	Asuriní, Xingú
asn	Xingú Asuriní
aso	Dano
asp	Algerian Sign Language
asq	Austrian Sign Language
asr	Asuri
ass	Ipulo
ast	Asturian
ast	Asturisch
ast	Asturleonese
ast	Bable
ast	Leonese
asu	Asurini, Tocantins
asu	Tocantins Asurini
asv	Asoa
asw	Australian Aborigines Sign Language
asx	Muratayak
asy	Asmat, Yaosakor
asy	Yaosakor Asmat
asz	As
ata	Pele-Ata
atb	Zaiwa
atc	Atsahuaca
atd	Ata Manobo
atd	Manobo, Ata
ate	Atemble
atg	Ivbie North-Okpela-Arhe
ati	Attié
atj	Atikamekw
atk	Ati
atl	Agta, Mt. Iraya
atl	Mt. Iraya Agta
atm	Ata
atn	Ashtiani
ato	Atong
ato	Atong (Cameroon)
atp	Atta, Pudtol
atp	Pudtol Atta
atq	Aralle-Tabulahan
atr	Waimiri-Atroari
atr	Waimiri-Atroarí
ats	Gros Ventre
att	Atta, Pamplona
att	Pamplona Atta
atu	Reel
atv	Altai, Northern
atv	Northern Altai
atw	Atsugewi
atx	Arutani
aty	Aneityum
atz	Arta
aua	Asumboa
aub	Alugu
auc	Waorani
aud	Anuta
aud	Anutan
aug	Aguna
auh	Aushi
aui	Anuki
auj	Awjilah
auk	Heyo
aul	Aulua
aum	Asu
aum	Asu (Nigeria)
aun	Molmo One
aun	One, Molmo
auo	Auyokawa
aup	Makayam
auq	Anus
auq	Korur
aur	Aruek
aut	Austral
auu	Auye
auw	Awyi
aux	Aurá
auy	Awiyaana
auz	Arabic, Uzbeki
auz	Arabic, Uzbeki Spoken
auz	Uzbeki Arabic
ava	Avar
ava	Avaric
avb	Avau
avd	Alviri-Vidari
ave	Avestan
avi	Avikam
avk	Kotava
avl	Arabic, Eastern Egyptian Bedawi
avl	Arabic, Eastern Egyptian Bedawi Spoken
avl	Eastern Egyptian Bedawi Arabic
avm	Angkamuthi
avn	Avatime
avo	Agavotaguerra
avs	Aushiri
avt	Au
avu	Avokaya
avv	Avá-Canoeiro
awa	Awadhi
awb	Awa (Papua New Guinea)
awc	Cicipu
awe	Awetí
awg	Anguthimri
awh	Awbono
awi	Aekyom
awk	Awabakal
awm	Arawum
awn	Awngi
awo	Awak
awr	Awera
aws	Awyu, South
aws	South Awyu
awt	Araweté
awu	Awyu, Central
awu	Central Awyu
awv	Awyu, Jair
awv	Jair Awyu
aww	Awun
awx	Awara
awy	Awyu, Edera
awy	Edera Awyu
axb	Abipon
axe	Ayerrerenge
axg	Arára, Mato Grosso
axg	Mato Grosso Arára
axk	Yaka (Central African Republic)
axl	Aranda, Lower Southern
axl	Lower Southern Aranda
axm	Armenian, Middle
axm	Middle Armenian
axx	Xârâgurè
aya	Awar
ayb	Ayizo Gbe
ayb	Gbe, Ayizo
ayc	Aymara, Southern
ayc	Southern Aymara
ayd	Ayabadhu
aye	Ayere
ayg	Ginyanga
ayh	Arabic, Hadrami
ayh	Arabic, Hadrami Spoken
ayh	Hadrami Arabic
ayi	Leyigha
ayk	Akuku
ayl	Arabic, Libyan
ayl	Arabic, Libyan Spoken
ayl	Libyan Arabic
aym	Aymara
ayn	Arabic, Sanaani
ayn	Arabic, Sanaani Spoken
ayn	Sanaani Arabic
ayo	Ayoreo
ayp	Arabic, North Mesopotamian
ayp	Arabic, North Mesopotamian Spoken
ayp	North Mesopotamian Arabic
ayq	Ayi
ayq	Ayi (Papua New Guinea)
ayr	Aymara, Central
ayr	Central Aymara
ays	Ayta, Sorsogon
ays	Sorsogon Ayta
ayt	Ayta, Magbukun
ayt	Magbukun Ayta
ayu	Ayu
ayy	Ayta, Tayabas
ayy	Tayabas Ayta
ayz	Mai Brat
aza	Azha
azb	Azerbaijani, South
azb	South Azerbaijani
azd	Eastern Durango Nahuatl
azd	Nahuatl, Eastern Durango
aze	Aserbaidschanisch
aze	Azerbaijani
aze	Azeri
azg	Amuzgo, San Pedro Amuzgos
azg	San Pedro Amuzgos Amuzgo
azj	Azerbaijani, North
azj	North Azerbaijani
azm	Amuzgo, Ipalapa
azm	Ipalapa Amuzgo
azn	Durango Nahuatl
azn	Durango-Nahuatl
azn	Nahuatl, Western Durango
azn	Western Durango Nahuatl
azo	Awing
azt	Atta, Faire
azt	Faire Atta
azz	Highland Puebla Nahuatl
azz	Nahuatl, Highland Puebla
baa	Babatana
bab	Bainouk-Gunyuño
bac	Badui
bae	Baré
baf	Nubaca
bag	Tuki
bah	Bahamas Creole English
bah	Creole English, Bahamas
baj	Barakai
bak	Bashkir
bak	Bashkort
bal	Baluchi
bam	Bamanankan
bam	Bambara
ban	Balinese
ban	Balinesisch
bao	Waimaha
bap	Bantawa
bar	Bavarian
bas	Basa (Cameroon)
bas	Basaa
bau	Bada (Nigeria)
bau	Mbat
bav	Vengo
baw	Bambili-Bambui
bax	Bamum
bax	Bamun
bay	Batuley
bba	Baatonum
bbb	Barai
bbc	Batak Toba
bbd	Bau
bbe	Bangba
bbf	Baibai
bbg	Barama
bbh	Bugan
bbi	Barombi
bbj	Ghomálá'
bbj	Ghomálá’
bbk	Babanki
bbl	Bats
bbm	Babango
bbn	Uneapa
bbo	Bobo Madaré, Northern
bbo	Konabéré
bbo	Northern Bobo Madaré
bbp	Banda, West Central
bbp	West Central Banda
bbq	Bamali
bbr	Girawa
bbs	Bakpinka
bbt	Mburku
bbu	Kulung (Nigeria)
bbv	Karnai
bbw	Baba
bbx	Bubia
bby	Befang
bbz	Arabic, Babalia Creole
bbz	Babalia Creole Arabic
bbz	Creole Arabic, Babalia
bca	Bai, Central
bca	Central Bai
bcb	Bainouk-Samik
bcc	Balochi, Southern
bcc	Southern Balochi
bcd	Babar, North
bcd	North Babar
bce	Bamenyam
bcf	Bamu
bcg	Baga Binari
bch	Bariai
bci	Baoulé
bcj	Bardi
bck	Bunaba
bcl	Bikol, Central
bcl	Central Bikol
bcm	Bannoni
bcn	Bali (Nigeria)
bco	Kaluli
bcp	Bali
bcp	Bali (Democratic Republic of Congo)
bcq	Bench
bcr	Babine
bcr	Babine-Witsuwiten
bcs	Kohumono
bct	Bendi
bcu	Awad Bing
bcv	Shoo-Minda-Nye
bcw	Bana
bcy	Bacama
bcz	Bainouk-Gunyaamolo
bda	Bayot
bdb	Basap
bdc	Emberá-Baudó
bdd	Bunama
bde	Bade
bdf	Biage
bdg	Bonggi
bdh	Baka (Sudan)
bdi	Burun
bdj	Bai
bdk	Budukh
bdl	Bajau, Indonesian
bdl	Indonesian Bajau
bdm	Buduma
bdn	Baldemu
bdo	Morom
bdp	Bende
bdq	Bahnar
bdr	Bajau, West Coast
bdr	West Coast Bajau
bds	Burunge
bdt	Bhogoto
bdt	Bokoto
bdu	Oroko
bdv	Bodo Parja
bdw	Baham
bdx	Budong-Budong
bdy	Bandjalang
bdy	Bundjalung
bdz	Badeshi
bea	Beaver
beb	Bebele
bec	Iceve-Maci
bed	Bedoanas
bee	Byangsi
bef	Benabena
beg	Belait
beh	Biali
bei	Bakati’
bei	Bekati'
bej	Bedawiyet
bej	Beja
bek	Bebeli
bel	Belarusan
bel	Belarusian
bem	Bemba
bem	Bemba (Zambia)
bem	Chibemba
ben	Bengali
beo	Beami
bep	Behoa
bep	Besoa
beq	Beembe
bes	Besme
bet	Béte, Guiberoua
bet	Bété, Guiberoua
bet	Guiberoua Béte
beu	Blagar
bev	Bété, Daloa
bev	Daloa Bété
bew	Betawi
bex	Jur Modo
bey	Beli (Papua New Guinea)
bez	Bena (Tanzania)
bfa	Bari
bfb	Bareli, Pauri
bfb	Pauri Bareli
bfc	Bai, Northern
bfc	Bai, Panyi
bfc	Northern Bai
bfc	Panyi Bai
bfd	Bafut
bfe	Betaf
bfe	Tena
bff	Bofi
bfg	Busang Kayan
bfg	Kayan, Busang
bfh	Blafe
bfi	British Sign Language
bfj	Bafanji
bfk	Ban Khor Sign Language
bfl	Banda-Ndélé
bfm	Mmen
bfn	Bunak
bfo	Birifor, Malba
bfo	Malba Birifor
bfp	Beba
bfq	Badaga
bfr	Bazigar
bfs	Bai, Southern
bfs	Southern Bai
bft	Balti
bfu	Gahri
bfw	Bondo
bfx	Bantayanon
bfy	Bagheli
bfz	Mahasu Pahari
bfz	Pahari, Mahasu
bga	Gwamhi-Wuri
bgb	Bobongko
bgc	Haryanvi
bgd	Bareli, Rathwi
bgd	Rathwi Bareli
bge	Bauria
bgf	Bangandu
bgg	Bugun
bgi	Giangan
bgj	Bangolan
bgk	Bit
bgk	Buxinhua
bgl	Bo (Laos)
bgm	Baga Mboteni
bgn	Balochi, Western
bgn	Western Balochi
bgo	Baga Koga
bgp	Balochi, Eastern
bgp	Eastern Balochi
bgq	Bagri
bgr	Bawm Chin
bgr	Chin, Bawm
bgs	Tagabawa
bgs	Tagabawà
bgt	Bughotu
bgu	Mbongno
bgv	Warkay-Bipim
bgw	Bhatri
bgx	Balkan Gagauz Turkish
bgx	Turkish, Balkan Gagauz
bgy	Benggoi
bgz	Banggai
bha	Bharia
bhb	Bhili
bhc	Biga
bhd	Bhadrawahi
bhe	Bhaya
bhf	Odiai
bhg	Binandere
bhh	Bukharic
bhh	Bukhori
bhi	Bhilali
bhj	Bahing
bhl	Bimin
bhm	Bathari
bhn	Bohtan Neo-Aramaic
bhn	Neo-Aramaic, Bohtan
bho	Bhojpuri
bhp	Bima
bhq	Tukang Besi South
bhr	Bara Malagasy
bhr	Malagasy, Bara
bhs	Buwal
bht	Bhattiyali
bhu	Bhunjia
bhv	Bahau
bhw	Biak
bhx	Bhalay
bhy	Bhele
bhz	Bada
bhz	Bada (Indonesia)
bia	Badimaya
bib	Bisa
bib	Bissa
bic	Bikaru
bid	Bidiyo
bie	Bepour
bif	Biafada
big	Biangai
bih	Bihari languages
bij	Vaghat-Ya-Bijim-Legeri
bik	Bikol
bil	Bile
bil	Bille
bim	Bimoba
bin	Bini
bin	Edo
bio	Nai
bip	Bila
biq	Bipi
bir	Bisorio
bis	Bislama
bit	Berinomo
biu	Biete
biv	Birifor, Southern
biv	Southern Birifor
biw	Kol (Cameroon)
bix	Bijori
biy	Birhor
biz	Baloi
bja	Budza
bjb	Banggarla
bjb	Barngarla
bjc	Bariji
bje	Biao-Jiao Mien
bje	Mien, Biao-Jiao
bjf	Barzani Jewish Neo-Aramaic
bjf	Jewish Neo-Aramaic
bjf	Neo-Aramaic, Barzani Jewish
bjg	Bidyogo
bjh	Bahinemo
bji	Burji
bjj	Kanauji
bjk	Barok
bjl	Bulu (Papua New Guinea)
bjm	Bajelani
bjn	Banjar
bjo	Banda, Mid-Southern
bjo	Mid-Southern Banda
bjp	Fanamaket
bjr	Binumarien
bjs	Bajan
bjt	Balanta-Ganja
bju	Busuu
bjv	Bedjond
bjw	Bakwé
bjx	Banao Itneg
bjx	Itneg, Banao
bjy	Bayali
bjz	Baruga
bka	Kyak
bkc	Baka
bkc	Baka (Cameroon)
bkd	Binukid
bkd	Talaandig
bkf	Beeke
bkg	Buraka
bkh	Bakoko
bki	Baki
bkj	Pande
bkk	Brokskat
bkl	Berik
bkm	Kom (Cameroon)
bkn	Bukitan
bko	Kwa'
bko	Kwa’
bkp	Boko (Democratic Republic of Congo)
bkq	Bakairí
bkr	Bakumpai
bks	Northern Sorsoganon
bks	Sorsoganon, Northern
bkt	Boloki
bku	Buhid
bkv	Bekwarra
bkw	Bekwel
bkx	Baikeno
bky	Bokyi
bkz	Bungku
bla	Blackfoot
bla	Siksika
blb	Bilua
blc	Bella Coola
bld	Bolango
ble	Balanta-Kentohe
blf	Buol
blg	Balau
blh	Kuwaa
bli	Bolia
blj	Bolongan
blk	Karen, Pa'o
blk	Pa'O
blk	Pa'o Karen
blk	Pa’o
bll	Biloxi
blm	Beli
blm	Beli (Sudan)
bln	Bikol, Southern Catanduanes
bln	Southern Catanduanes Bikol
blo	Anii
blp	Blablanga
blq	Baluan-Pam
blr	Blang
bls	Balaesang
blt	Tai Dam
blv	Bolo
blw	Balangao
blx	Ayta, Mag-Indi
blx	Mag-Indi Ayta
bly	Notre
blz	Balantak
bma	Lame
bmb	Bembe
bmc	Biem
bmd	Baga Manduri
bmd	Manduri, Baga
bme	Limassa
bmf	Bom
bmg	Bamwe
bmh	Kein
bmi	Bagirmi
bmj	Bote
bmj	Bote-Majhi
bmk	Ghayavi
bml	Bomboli
bmm	Malagasy, Northern Betsimisaraka
bmm	Northern Betsimisaraka Malagasy
bmn	Bina (Papua New Guinea)
bmo	Bambalang
bmp	Bulgebi
bmq	Bomu
bmr	Muinane
bms	Bilma Kanuri
bms	Kanuri, Bilma
bmt	Biao Mon
bmu	Somba-Siawari
bmv	Bum
bmw	Bomwali
bmx	Baimak
bmz	Baramu
bna	Bonerate
bnb	Bookan
bnc	Bontok
bnd	Banda
bnd	Banda (Indonesia)
bne	Bintauna
bnf	Masiwang
bng	Benga
bni	Bangi
bnj	Eastern Tawbuid
bnj	Tawbuid, Eastern
bnk	Bierebo
bnl	Boon
bnm	Batanga
bnn	Bunun
bno	Bantoanon
bnp	Bola
bnq	Bantik
bnr	Butmas-Tur
bns	Bundeli
bnu	Bentong
bnv	Beneraf
bnv	Bonerif
bnv	Edwas
bnw	Bisis
bnx	Bangubangu
bny	Bintulu
bnz	Beezen
boa	Bora
bob	Aweer
bod	Tibetan
bod	Tibetan, Central
boe	Mundabli
bof	Bolon
bog	Bamako Sign Language
boh	Boma
boi	Barbareño
boj	Anjam
bok	Bonjo
bol	Bole
bom	Berom
bon	Bine
boo	Bozo, Tiemacèwè
boo	Tiemacèwè
boo	Tiemacèwè Bozo
bop	Bonkiman
boq	Bogaya
bor	Borôro
bos	Bosnian
bos	Bosnisch
bot	Bongo
bou	Bondei
bov	Tuwuli
bow	Rema
box	Buamu
boy	Bodo (Central African Republic)
boz	Bozo, Tieyaxo
boz	Bozo, Tiéyaxo
boz	Tiéyaxo
boz	Tiéyaxo Bozo
bpa	Daakaka
bpb	Barbacoas
bpd	Banda-Banda
bpg	Bonggo
bph	Botlikh
bpi	Bagupi
bpj	Binji
bpk	'Ôrôê
bpk	Orowe
bpl	Broome Pearling Lugger Pidgin
bpm	Biyom
bpn	Dzao Min
bpo	Anasi
bpp	Kaure
bpq	Banda Malay
bpq	Malay, Banda
bpr	Blaan, Koronadal
bpr	Koronadal Blaan
bps	Blaan, Sarangani
bps	Sarangani Blaan
bpt	Barrow Point
bpu	Bongu
bpv	Bian Marind
bpv	Marind, Bian
bpw	Bo
bpw	Bo (Papua New Guinea)
bpx	Bareli, Palya
bpx	Palya Bareli
bpy	Bishnupriya
bpz	Bilba
bqa	Tchumbuli
bqb	Bagusa
bqc	Boko
bqc	Boko (Benin)
bqc	Boo
bqd	Bung
bqf	Baga Kaloum
bqg	Bago-Kusuntu
bqh	Baima
bqi	Bakhtiari
bqi	Bakhtiâri
bqj	Bandial
bqk	Banda-Mbrès
bql	Bilakura
bqm	Wumboko
bqn	Bulgarian Sign Language
bqo	Balo
bqp	Busa
bqq	Biritai
bqr	Burusu
bqs	Bosmun
bqs	Bosngun
bqt	Bamukumbit
bqu	Boguru
bqv	Begbere-Ejar
bqv	Koro Wachi
bqw	Buru (Nigeria)
bqx	Baangi
bqy	Bengkala Sign Language
bqz	Bakaka
bra	Braj
bra	Braj Bhasha
brb	Lave
brc	Berbice Creole Dutch
brc	Creole Dutch, Berbice
brd	Baraamu
brd	Baram
bre	Breton
bre	Bretonisch
brf	Bera
brg	Baure
brh	Brahui
bri	Mokpwe
brj	Bieria
brk	Birked
brl	Birwa
brm	Barambu
brn	Boruca
bro	Brokkat
brp	Barapasi
brq	Breri
brr	Birao
brs	Baras
brt	Bitare
bru	Bru, Eastern
bru	Eastern Bru
brv	Bru, Western
brv	Western Bru
brw	Bellari
brx	Bodo
brx	Bodo (India)
bry	Burui
brz	Bilbil
bsa	Abinomn
bsb	Bisaya, Brunei
bsb	Brunei Bisaya
bsc	Bassari
bsc	Oniyan
bse	Wushi
bsf	Bauchi
bsg	Bashkardi
bsh	Kati
bsi	Bassossi
bsj	Bangwinji
bsk	Burushaski
bsl	Basa-Gumna
bsm	Busami
bsn	Barasana-Eduria
bso	Buso
bsp	Baga Sitemu
bsq	Bassa
bsq	Bassa (Vah)
bsr	Bassa-Kontagora
bss	Akoose
bst	Basketo
bsu	Bahonsuai
bsv	Baga Sobané
bsw	Baiso
bsx	Yangkam
bsy	Bisaya, Sabah
bsy	Sabah Bisaya
bta	Bata
btc	Bati (Cameroon)
